0,CrtDemo,1
1,Crt,1
2,OrigMode,4
3,LastCol,5
4,LastRow,6
5,Ch,6
6,Done,6
7,Initialize,2
8,CheckBreak,1
9,LastMode,2
10,TextMode,2
11,Lo,2
12,Font8x8,1
13,WindMax,2
14,Hi,1
15,GoToXY,1
16,TextBackground,4
17,Black,3
18,TextColor,4
19,White,3
20,Dec,1
21,Randomize,1
22,MakeWindow,3
23,X,6
24,Y,6
25,Width,5
26,Height,5
27,Random,7
28,Window,2
29,Mono,1
30,ClrScr,3
31,RandomText,2
32,Chr,1
33,KeyPressed,1
34,ReadKey,2
35,GotoXY,4
36,WhereX,4
37,WhereY,4
38,InsLine,1
39,DelLine,1
